Name,Address,Latitude,Longitude
Комунальне підприємство 1-ша міська клінічна лікарня ім. Князя Лева, м. Львів вул. Ужгородська 1,49.8468484,24.0311965
Поліклінічне відділення № 1 КП 1МКЛ ім. Князя Лева, м. Львів вул. Лемківська 28,49.8540381,24.0266512
Поліклінічне відділення № 2 КП 1МКЛ ім. Князя Лева, м. Львів вул. Мазепи 25,49.8720807,24.0409049
Дитяче поліклінічне відділення № 1 КП 1МКЛ ім. Князя Лева, м. Львів вул. Хімічна 7а,49.8545001,24.0269601
Комунальна 3-тя міська клінічна лікарня (К 3МКЛ) поліклінічне відділення для дорослих, м. Львів вул. Озаркевича 2,49.8390198,24.0111527
К 3МКЛ відділення стаціонару, м. Львів вул. Рапоппорта 6,49.839683,24.029717
К 3МКЛ відділення стаціонару, м. Львів вул. Русових 4,49.8338787,24.0080215
К 3МКЛ поліклінічне відділення (філіал), м. Львів вул. Шевченка 313,49.86518299999999,23.941956
Комунальна 4-та міська клінічна лікарня (К 4МКЛ) поліклінічне відділення, м. Львів вул. Я. Стецька 3,49.8353169,24.0337981
К 4МКЛ поліклінічне відділення для дітей, м. Львів вул. Паркова 1,49.8268475,24.032601
К 4МКЛ відділення стаціонару, м. Львів вул. Свенцицького 3,49.8268669,24.0345376
Комунальна 5-та міська клінічна лікарня (К 5МКЛ), м. Львів вул. Коновальця 22,49.83295409999999,24.0063445
К 5МКЛ відділення стаціонару, м. Львів вул. Генерала Чупринки 45,49.8310216,24.0103201
К 5МКЛ поліклінічне відділення для дорослих, м. Львів вул. Генерала Чупринки 43,49.8311126,24.0098737
К 5МКЛ поліклінічне відділення для дітей, м. Львів вул. Генерала Чупринки 61,49.8291523,24.0068
Комунальна 7-ма міська лікарня (К 7МЛ) відділення стаціонару, м. Львів вул. В. Івасюка 74,49.90615890000001,23.9277837
К 7МЛ поліклінічне відділення для дітей, м. Львів вул. Івасюка 40,49.8309449,24.0469361
К 7МЛ поліклінічне відділення для дорослих, м. Львів вул. Ягідна 8,49.9027045,23.9309095
Комунальна 8-ма міська клінічна лікарня відділення стаціонару, м. Львів вул.Навроцького 23,49.8113003,24.0528031
10-та міська лікарня відділення стаціонару, м. Львів вул. Бой - Желенського 14,49.8279739,24.0156099
Комунальна міська клінічна лікарня швидкої медичної допомоги відділення стаціонару, м. Львів вул. І.Миколайчука 9,49.8741774,24.039617
